id	main_strategy	management_fee	incentive_fee	high_watermark	firm_id	strategy_code	date	performance	nav	assets	mktrf	smb	hml	rf
374	2	1.5	0	1	55	5	19911130	-0.86	7233.67	134.54	-4.19	-0.47	-1.91	0.39
374	2	1.5	0	1	55	5	19911231	4.28	7543	140.44	10.84	-2.24	-4.04	0.38
374	2	1.5	0	1	55	5	19920131	2.44	7726.85	143.67	-0.59	8.45	4.5	0.34
374	2	1.5	0	1	55	5	19920229	4.21	8052.38	149.72	1.09	0.88	6.36	0.28
374	2	1.5	0	1	55	5	19920331	1.19	8148	151.5	-2.66	-1.03	3.66	0.34
374	2	1.5	0	1	55	5	19920430	7.85	8255.75	153.5	1.07	-6.12	4.28	0.32
374	2	1.5	0	1	55	5	19920531	-4.04	7822.15	156.8	0.3	0.4	1.27	0.28
374	2	1.5	0	1	55	5	19920630	-2.68	7709.51	152.59	-2.34	-3.09	3.41	0.32
374	2	1.5	0	1	55	5	19920731	0.63	7758.18	153.55	3.77	-0.44	-0.53	0.31
374	2	1.5	0	1	55	5	19920831	0.69	7811.46	154.6	-2.38	-0.11	-1.04	0.26
374	2	1.5	0	1	55	5	19920930	8.3	8480.08	167.44	1.19	0.56	-0.21	0.26
374	2	1.5	0	1	55	5	19921031	4.57	8847.03	175.1	1.02	2.04	-2.1	0.23
374	2	1.5	0	1	55	5	19921130	2.78	9093.19	179.97	4.13	3.69	-1.48	0.23
374	2	1.5	0	1	55	5	19921231	3.09	9373.97	185.53	1.53	1.65	2.51	0.28
374	2	1.5	0	1	55	5	19930131	2.29	9588.51	189.78	0.93	2.05	5.89	0.23
374	2	1.5	0	1	55	5	19930228	2.76	9852.85	195.01	0.12	-3.44	6.42	0.22
374	2	1.5	0	1	55	5	19930331	3.57	10204.84	201.97	2.3	0.24	1.24	0.25
374	2	1.5	0	1	55	5	19930430	3.09	9680.43	199.76	-3.05	-0.7	2.61	0.24
374	2	1.5	0	1	55	5	19930531	2.54	9926.27	204.83	2.89	1.96	-3.41	0.22
374	2	1.5	0	1	55	5	19930630	6.01	10522.78	217.14	0.31	-0.3	2.61	0.25
374	2	1.5	0	1	55	5	19930731	3.48	10888.86	224.69	-0.34	0.93	3.25	0.24
374	2	1.5	0	1	55	5	19930831	2.92	11208.81	231.25	3.71	0.32	-0.45	0.25
374	2	1.5	0	1	55	5	19930930	-0.19	11185.38	230.81	-0.12	3.12	-0.44	0.26
374	2	1.5	0	1	55	5	19931031	3.65	11594.12	239.25	1.41	1.45	-1.55	0.22
374	2	1.5	0	1	55	5	19931130	-1.26	11448.43	236.24	-1.89	-1.43	-0.27	0.25
374	2	1.5	0	1	55	5	19931231	7.62	12321.11	253.59	1.65	1.22	0.57	0.23
374	2	1.5	0	1	55	5	19940131	3.16	12709.85	262.27	2.87	0.13	2.08	0.25
374	2	1.5	0	1	55	5	19940228	-3.69	12240.55	252.58	-2.55	2.73	-1.44	0.21
374	2	1.5	0	1	55	5	19940331	-2.01	11993.94	247.5	-4.78	-0.97	1.32	0.27
